OrderDate,Region,Product,Units,Price,Revenue
2024-01-03,APAC,Alpha,12,19.9,238.8
2024-01-05,EMEA,Beta,7,29.9,209.3
2024-01-07,AMER,Gamma,5,49.9,249.5
2024-01-10,APAC,Alpha,9,19.9,179.1
2024-01-12,EMEA,Delta,3,99.0,297.0
2024-01-13,AMER,Beta,10,29.9,299.0
2024-01-14,APAC,Epsilon,20,9.5,190.0
2024-01-15,EMEA,Gamma,8,49.9,399.2
2024-01-18,AMER,Alpha,6,19.9,119.4
2024-01-20,APAC,Beta,15,29.9,448.5
2024-01-22,EMEA,Epsilon,25,9.5,237.5
2024-01-25,AMER,Delta,2,99.0,198.0
2024-01-26,APAC,Gamma,11,49.9,548.9
2024-01-28,EMEA,Alpha,4,19.9,79.6
2024-01-30,AMER,Epsilon,30,9.5,285.0
2024-02-02,APAC,Delta,1,99.0,99.0
2024-02-05,EMEA,Beta,12,29.9,358.8
2024-02-07,AMER,Gamma,7,49.9,349.3
2024-02-10,APAC,Alpha,8,19.9,159.2
2024-02-12,EMEA,Delta,3,99.0,297.0
2024-02-13,AMER,Beta,9,29.9,269.1
2024-02-15,APAC,Epsilon,18,9.5,171.0
2024-02-18,EMEA,Gamma,6,49.9,299.4
2024-02-20,AMER,Alpha,11,19.9,218.9
2024-02-22,APAC,Beta,14,29.9,418.6
2024-02-24,EMEA,Epsilon,22,9.5,209.0
2024-02-26,AMER,Delta,4,99.0,396.0
2024-02-28,APAC,Gamma,10,49.9,499.0
2024-03-03,EMEA,Alpha,5,19.9,99.5
2024-03-05,AMER,Epsilon,16,9.5,152.0
2024-03-07,APAC,Beta,13,29.9,388.7
2024-03-10,EMEA,Gamma,9,49.9,449.1
2024-03-12,AMER,Alpha,7,19.9,139.3
2024-03-15,APAC,Delta,2,99.0,198.0
2024-03-18,EMEA,Beta,8,29.9,239.2
2024-03-20,AMER,Gamma,12,49.9,598.8
2024-03-22,APAC,Epsilon,20,9.5,190.0
2024-03-25,EMEA,Alpha,6,19.9,119.4
2024-03-28,AMER,Beta,11,29.9,328.9
